Offset	Prefix	Config_ID	Value
0x403570	0xb	0x4870	0xc8af
0x403578	0xd	0x4870	0xc8af
0x403580	0x13	0x4870	0xc8af
0x403588	0x15	0x4870	0xc8af
0x403590	0x3	0x4870	0x83c8
0x403598	0x5	0x4870	0x83c8
0x4035a0	0x7	0x4870	0x83c8
0x4035a8	0x9	0x4870	0x83c8
0x4035b0	0xb	0x4870	0x83c8
0x4035b8	0xd	0x4870	0x83c8
0x4035c0	0x13	0x4870	0x83c8
0x4035c8	0x15	0x4870	0x83c8
0x4035d0	0x3	0x4870	0x283
0x4035d8	0x5	0x4870	0x283
0x4035e0	0x7	0x4870	0x283
0x4035e8	0x9	0x4870	0x283
0x4035f0	0xb	0x4870	0x283
0x4035f8	0xd	0x4870	0x283
0x403600	0x13	0x4870	0x283
0x403608	0x15	0x4870	0x283
0x403610	0x3	0x4870	0xc8f6
0x403618	0x5	0x4870	0xc8f6
0x403620	0x7	0x4870	0xc8f6
0x403628	0x9	0x4870	0xc8f6
0x403630	0xb	0x4870	0xc8f6
0x403638	0xd	0x4870	0xc8f6
